GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,2015,STR RENAULT,DNF,0
Malaysia,2015,STR RENAULT,7,6
China,2015,STR RENAULT,DNF,0
Bahrain,2015,STR RENAULT,DNF,0
Spain,2015,STR RENAULT,11,0
Monaco,2015,STR RENAULT,DNF,0
Canada,2015,STR RENAULT,15,0
Austria,2015,STR RENAULT,8,4
Great Britain,2015,STR RENAULT,DNF,0
Hungary,2015,STR RENAULT,4,12
Belgium,2015,STR RENAULT,8,4
Italy,2015,STR RENAULT,12,0
Singapore,2015,STR RENAULT,8,4
Japan,2015,STR RENAULT,9,2
Russia,2015,STR RENAULT,10,1
United States,2015,STR RENAULT,4,12
Mexico,2015,STR RENAULT,9,2
Brazil,2015,STR RENAULT,9,2
Abu Dhabi,2015,STR RENAULT,16,0
